"placeCode","placeName","stateCode","lat","lng","coverImage"
"ABBOTT-MOUNT","Abbott Mount, Uttarakhand","UTTARAKHAND",29.4333333,80.0833333,"https://www.holidify.com/images/bgImages/ABBOTT-MOUNT.jpg"
"ADILABAD","Adilabad, Andhra Pradesh","TELANGANA",19.7638624,78.7762105,"https://www.holidify.com/images/bgImages/ADILABAD.jpg"
"AGARTALA","Agartala, Tripura","TRIPURA",23.831457,91.2867777,"https://www.holidify.com/images/bgImages/AGARTALA.jpg"
"AGRA","Agra, Uttar Pradesh","UTTAR-PRADESH",27.1766701,78.0080745,"https://www.holidify.com/images/bgImages/AGRA.jpg"
"AHMEDABAD","Ahmedabad, Gujarat","GUJARAT",23.0395677,72.5660045,"https://www.holidify.com/images/bgImages/AHMEDABAD.jpg"
"AHMEDNAGAR","Ahmednagar","MAHARASHTRA-GOA",19.0952075,74.7495916,"https://www.holidify.com/images/bgImages/AHMEDNAGAR.jpg"
"AIHOLE","Aihole, Karnataka","KARNATAKA",16.019844,75.88099,"https://www.holidify.com/images/bgImages/AIHOLE.jpg"
"AIZAWL","Aizawl, Mizoram","MIZORAM",23.727107,92.7176389,"https://www.holidify.com/images/bgImages/AIZAWL.jpg"
"AJANTA-AND-ELLORA-CAVES","Ajanta and Ellora Caves, Maharashtra","MAHARASHTRA-GOA",20.0169693,75.1832364,"https://www.holidify.com/images/bgImages/AJANTA-AND-ELLORA-CAVES.jpg"
"AJMER","Ajmer, Rajasthan","RAJASTHAN",26.45,74.64,"https://www.holidify.com/images/bgImages/AJMER.jpg"
"ALIBAG","Alibag, Maharashtra","MAHARASHTRA-GOA",18.655491,72.86792,"https://www.holidify.com/images/bgImages/ALIBAG.jpg"
"ALIGARH","Aligarh","UTTAR-PRADESH",27.8974,78.088,"https://www.holidify.com/images/bgImages/ALIGARH.jpg"
"ALLAHABAD","Allahabad, Uttar Pradesh","UTTAR-PRADESH",25.4358011,81.846311,"https://www.holidify.com/images/bgImages/ALLAHABAD.jpg"
"ALLEPPEY","Alleppey, Kerala","KERALA",9.4465113,76.4382255,"https://www.holidify.com/images/bgImages/ALLEPPEY.jpg"
"ALMORA","Almora, Uttarakhand","UTTARAKHAND",29.59836,79.6615118,"https://www.holidify.com/images/bgImages/ALMORA.jpg"
"ALONG","Along, Arunachal Pradesh","ARUNACHAL-PRADESH",28.170351,94.80194,"https://www.holidify.com/images/bgImages/ALONG.jpg"
"ALWAR","Alwar, Rajasthan","RAJASTHAN",27.5609324,76.6250168,"https://www.holidify.com/images/bgImages/ALWAR.jpg"
"AMARAVATHI","Amaravathi, Andhra Pradesh","ANDHRA-PRADESH",16.5728,80.3575,"https://www.holidify.com/images/bgImages/AMARAVATHI.jpg"
"AMARKANTAK","Amarkantak, Madhya Pradesh","MADHYA-PRADESH",22.6822292,81.7532219,"https://www.holidify.com/images/bgImages/AMARKANTAK.jpg"
"AMARNATH","Amarnath, Jammu & Kashmir","JAMMU-AND-KASHMIR",34.216667,75.5,"https://www.holidify.com/images/bgImages/AMARNATH.jpg"
"AMBOLI","Amboli, Maharashtra","MAHARASHTRA-GOA",15.9625,73.997778,"https://www.holidify.com/images/bgImages/AMBOLI.jpg"
"AMRAVATI","Amravati","MAHARASHTRA-GOA",20.92972,77.758133,"https://www.holidify.com/images/bgImages/AMRAVATI.jpg"
"AMRITSAR","Amritsar, Punjab","PUNJAB",31.6339793,74.8722642,"https://www.holidify.com/images/bgImages/AMRITSAR.jpg"
"ANAND","Anand, Gujarat","GUJARAT",22.556,72.951,"https://www.holidify.com/images/bgImages/ANAND.jpg"
"ANANDPUR-SAHIB","Anandpur Sahib","PUNJAB",31.2344,76.5055,"https://www.holidify.com/images/bgImages/ANANDPUR-SAHIB.jpg"
"ANANTAPUR","Anantapur, Andhra Pradesh","ANDHRA-PRADESH",14.6818877,77.6005911,"https://www.holidify.com/images/bgImages/ANANTAPUR.jpg"
"ANANTHAGIRI-HILLS","Ananthagiri Hills, Andhra Pradesh","ANDHRA-PRADESH",18.1968728,82.9978626,"https://www.holidify.com/images/bgImages/ANANTHAGIRI-HILLS.jpg"
"ANANTNAG","Anantnag, Jammu & Kashmir","JAMMU-AND-KASHMIR",33.7311255,75.1487007,"https://www.holidify.com/images/bgImages/ANANTNAG.jpg"
"ANDAMAN-NICOBAR-ISLANDS","Andaman &amp; Nicobar Islands","UNION-TERRITORY",11.7400867,92.6586401,"https://www.holidify.com/images/bgImages/ANDAMAN-NICOBAR-ISLANDS.jpg"
"ANINI","Anini, Arunachal Pradesh","ARUNACHAL-PRADESH",28.797491,95.8995389,"https://www.holidify.com/images/bgImages/ANINI.jpg"
"ANJAW","Anjaw, Arunachal Pradesh","ARUNACHAL-PRADESH",27.925,96.3481,"https://www.holidify.com/images/bgImages/ANJAW.jpg"
"ANNAVARAM","Annavaram, Andhra Pradesh","ANDHRA-PRADESH",17.281989,82.405525,"https://www.holidify.com/images/bgImages/ANNAVARAM.jpg"
"ANTHARGANGE","Anthargange, Karnataka","KARNATAKA",13.142425,78.100561,"https://www.holidify.com/images/bgImages/ANTHARGANGE.jpg"
"ARITAR","Aritar, Sikkim","SIKKIM",27.1880556,88.6747222,"https://www.holidify.com/images/bgImages/ARITAR.jpg"
"ARKI","Arki, Himachal Pradesh","HIMACHAL-PRADESH",31.15,76.9667,"https://www.holidify.com/images/bgImages/ARKI.jpg"
"ASANSOL","Asansol","WEST-BENGAL",23.693029,86.95311,"https://www.holidify.com/images/bgImages/ASANSOL.jpg"
"AULI","Auli, Uttarakhand","UTTARAKHAND",30.5288889,79.5702778,"https://www.holidify.com/images/bgImages/AULI.jpg"
"AURANGABAD","Aurangabad, Maharashtra","MAHARASHTRA-GOA",19.8761653,75.3433139,"https://www.holidify.com/images/bgImages/AURANGABAD.jpg"
"AUROVILLE","Auroville, Pondicherry","TAMIL-NADU",12.006944,79.810556,"https://www.holidify.com/images/bgImages/AUROVILLE.jpg"
"AYODHYA","Ayodhya, Uttar Pradesh","UTTAR-PRADESH",26.79644,82.198639,"https://www.holidify.com/images/bgImages/AYODHYA.jpg"
"BADAMI","Badami, Karnataka","KARNATAKA",15.91494,75.676811,"https://www.holidify.com/images/bgImages/BADAMI.jpg"
"BADRINATH","Badrinath, Uttarakhand","UTTARAKHAND",30.7433085,79.4937634,"https://www.holidify.com/images/bgImages/BADRINATH.jpg"
"BAGDOGRA","Bagdogra","WEST-BENGAL",26.6983,88.3244,"https://www.holidify.com/images/bgImages/BAGDOGRA.jpg"
"BAGESHWAR","Bageshwar, Uttarakhand","UTTARAKHAND",29.8394753,79.7764337,"https://www.holidify.com/images/bgImages/BAGESHWAR.jpg"
"BAGHMARA","Baghmara, Meghalaya","MEGHALAYA",25.193491,90.634631,"https://www.holidify.com/images/bgImages/BAGHMARA.jpg"
"BAKKHALI","Bakkhali, West Bengal","WEST-BENGAL",21.563267,88.259439,"https://www.holidify.com/images/bgImages/BAKKHALI.jpg"
"BALTAL","Baltal, Jammu & Kashmir","JAMMU-AND-KASHMIR",34.2582672,75.415535,"https://www.holidify.com/images/bgImages/BALTAL.jpg"
"BANDHAVGARH-NATIONAL-PARK","Bandhavgarh National Park, Madhya Pradesh","MADHYA-PRADESH",23.6831275,81.0354406,"https://www.holidify.com/images/bgImages/BANDHAVGARH-NATIONAL-PARK.jpg"
"BANDIPUR-NATIONAL-PARK","Bandipur National Park, Karnataka","KARNATAKA",11.667945,76.631913,"https://www.holidify.com/images/bgImages/BANDIPUR-NATIONAL-PARK.jpg"
"BANGALORE","Bangalore, Karnataka","KARNATAKA",12.9715987,77.5945627,"https://www.holidify.com/images/bgImages/BANGALORE.jpg"
"BANKURA","Bankura, West Bengal","WEST-BENGAL",23.2371632,87.0652217,"https://www.holidify.com/images/bgImages/BANKURA.jpg"
"BARDHAMAN","Bardhaman, West Bengal","WEST-BENGAL",23.2324214,87.8614793,"https://www.holidify.com/images/bgImages/BARDHAMAN.jpg"
"BARIPADA","Baripada, Odisha","ODISHA",21.94,86.72,"https://www.holidify.com/images/bgImages/BARIPADA.jpg"
"BARPETA","Barpeta, Assam","ASSAM",26.3155966,90.9964085,"https://www.holidify.com/images/bgImages/BARPETA.jpg"
